Feature,Mean_SHAP_Impact
GenHlth,0.053940519927284
HighBP,0.052268970184660556
BMI,0.04111556855670151
HighChol,0.03725163139854752
Age,0.03023215247920327
Income,0.013691753005509438
PhysHlth,0.009911142663767816
Sex,0.006101253867437192
PhysActivity,0.005113353531327848
MentHlth,0.0019507218380005263
Veggies,0.0016530995736881485
Fruits,0.001067429520998239
