feature,importance
GenHlth,0.24264056591723282
HighBP,0.2039373082738328
BMI,0.1928453101418024
HighChol,0.10898301405050224
Age,0.10070739330962435
PhysHlth,0.05438500539299991
Income,0.0431911230127271
MentHlth,0.01956442890755179
PhysActivity,0.01307174526961622
Sex,0.009886237028601091
Veggies,0.005568449082941424
Fruits,0.005219419612567808
